source,target,value,ip
LDP-5-SP:<*> session hold up initiated,LDP-5-SP:<*> session recovery <*>,0.727664,all
LDP-5-SP:<*> session hold up initiated,"OSPF-5-ADJCHG:Process 1, Nbr <*> on <*> <*> <*> from <*> to <*> <*> <*>",0.630688,all
LDP-5-SP:<*> session hold up initiated,PLATFORM-VIC-4-SIGNAL :Interface TenGigE0 <*> 0 <*> Detected <*> <*>,0.643512,all
IFDAMP-5-UPDOWN:interface <*> <*> <*> update IP Routing state to <*> interface is not suppressed,IP-TCP_NSR-5-DISABLED :<*> <-> <*> NSR disabled for TCP connection because Retransmission threshold exceeded,0.686462,all
IFDAMP-5-UPDOWN:interface <*> <*> <*> update IP Routing state to <*> interface is not suppressed,ROUTING-BGP-3-NBR_NSR_DISABLED :NSR disabled on neighbor <*> due to 'ip-tcp' detected the 'warning' condition 'NSR is down because the retransmission threshold exceeded probably because downstream RP is not healthy ',0.668529,all
IFDAMP-5-UPDOWN:interface <*> <*> <*> update IP Routing state to <*> interface is not suppressed,"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> <*> <*> <*> entered Dampened state initial: <*> ms,secondary: <*> ms,maximum: <*> ms .",0.655839,all
"OSPF-5-ADJCHG:Process 1, Nbr <*> on <*> <*> <*> from <*> to DOWN, Neighbor Down: Interface down or detached",ROUTING-FIB-4-RETRYDB_NONEMPTY :One or more FIB object s have been in IPv4 retry queue for at least <*> seconds,0.601992,all
LDP-5-GR:GR session <*> inst <*> : interrupted--recovery pending,LDP-5-NBRCHG:LDP Neighbor <*> 0 is DOWN <*> <*> <*> <*> <*>,0.718596,all
LDP-5-NBRCHG:LDP Neighbor <*> 0 is DOWN <*> <*> <*> <*> <*>,LDP-5-GR:GR session <*> inst <*> : interrupted--recovery pending,0.718596,all
LDP-5-SP:<*> session recovery <*>,LDP-5-SP:<*> session hold up initiated,0.727664,all
LDP-5-SP:<*> session recovery <*>,"OSPF-5-ADJCHG:Process 1, Nbr <*> on <*> <*> <*> from <*> to <*> <*> <*>",0.629549,all
BGP-3-NOTIFICATION:sent to neighbor <*> 4 0 hold time expired 0 bytes,BGP-5-ADJCHANGE:neighbor <*> Down BGP Notification <*>,0.695146,all
BGP-3-NOTIFICATION:sent to neighbor <*> 4 0 hold time expired 0 bytes,"OSPF-5-ADJCHG:Process <*> Nbr <*> on <*> from <*> to DOWN, Neighbor Down: <*> <*> <*> <*>",0.728114,all
BGP-3-NOTIFICATION:sent to neighbor <*> 4 0 hold time expired 0 bytes,L2-BM-6-MBR_BFD_SESSION_UP :The BFD session on link TenGigE0 <*> 0 <*> <*> <*> <*> <*> <*> <*>,0.700313,all
BGP-5-ADJCHANGE:neighbor <*> Down BGP Notification <*>,BGP-3-NOTIFICATION:sent to neighbor <*> 4 0 hold time expired 0 bytes,0.695146,all
BGP-5-ADJCHANGE:neighbor <*> Down BGP Notification <*>,ROUTING-BGP-3-NBR_NSR_DISABLED :NSR disabled on neighbor <*> due to 'ip-tcp' detected the 'warning' condition 'NSR is down because the retransmission threshold exceeded probably because downstream RP is not healthy ',0.665796,all
BGP-5-ADJCHANGE:neighbor <*> Down BGP Notification <*>,"ROUTING-BGP-5-ADJCHANGE_DETAIL :neighbor <*> Up VRF: default; AFI SAFI: 1 128, 2 128, 1 132, 25 70 AS: 65535",0.668403,all
NETCLK-6-SRC_UPD:Synchronization source TenGigabitEthernet0 <*> <*> status <*> <*> <*> is posted to all selection process.,NETCLK-6-SRC_UPD:Synchronization source TenGigabitEthernet0 <*> <*> status Signal Failure is posted to all selection process.,0.747997,all
NETCLK-6-SRC_UPD:Synchronization source TenGigabitEthernet0 <*> <*> status <*> <*> <*> is posted to all selection process.,PLATFORM-VIC-4-SIGNAL :Interface TenGigE0 <*> 0 <*> Detected <*> <*>,0.755448,all
NETCLK-6-SRC_UPD:Synchronization source TenGigabitEthernet0 <*> <*> status <*> <*> <*> is posted to all selection process.,"L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> <*> <*> <*> entered Dampened state initial: <*> ms,secondary: <*> ms,maximum: <*> ms .",0.664586,all
NETCLK-6-SRC_UPD:Synchronization source TenGigabitEthernet0 <*> <*> status Signal Failure is posted to all selection process.,NETCLK-6-SRC_UPD:Synchronization source TenGigabitEthernet0 <*> <*> status <*> <*> <*> is posted to all selection process.,0.747997,all
"SECURITY-SSHD-6-INFO_REKEY :Server initiated <*> rekey for session <*> , session_rekey_count = <*>",L2-BM-6-MBR_BFD_STARTING :The BFD session on link <*> <*> <*> <*> in <*> is starting. Waiting indefinitely for peer to establish session.,0.737324,all
"SECURITY-SSHD-6-INFO_REKEY :Server initiated <*> rekey for session <*> , session_rekey_count = <*>","L2-BFD-6-SESSION_DAMPENING_ON :Session to neighbor <*> on interface <*> <*> <*> <*> entered Dampened state initial: <*> ms,secondary: <*> ms,maximum: <*> ms .",0.763181,all
IOSXE_PEM-6-FANOK:The <*> in <*> <*> is functioning properly,IOSXE_RP_ALARM-2-PEM:cleared MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,0.732998,all
